id,clusterId,timeInfected
EEACBDF_29043,EEACBDF,2014.6288
EEACBDF_28065,EEACBDF,2014.5712
EEACBDF_18106,EEACBDF,2014.072
EEACBDF_16868_anc2,EEACBDF,2013.9184
EEACBDF_16868_anc1,EEACBDF,2013.9184
EEACBDF_16523,EEACBDF,2013.8608
EEACBDF_17937,EEACBDF,2014.0528
EEACBDF_19055,EEACBDF,2014.1488
EEACBDF_17708,EEACBDF,2014.0336
EEACBDF_15941,EEACBDF,2013.6688
EEACBDF_20064,EEACBDF,2014.2256
EEACBDF_18689,EEACBDF,2014.1296
EEACBDF_16943,EEACBDF,2013.9376
EEACBDF_27562,EEACBDF,2014.552
EEACBDF_16517,EEACBDF,2013.8608
EEACBDF_16146,EEACBDF,2013.7648
EEACBDF_18150,EEACBDF,2014.072
EEACBDF_18584,EEACBDF,2014.1104
EEACBDF_20082,EEACBDF,2014.2256
EEACBDF_18300,EEACBDF,2014.0912
EEACBDF_16606_anc2,EEACBDF,2013.88
EEACBDF_16606_anc1,EEACBDF,2013.88
EEACBDF_16202,EEACBDF,2013.784
EEACBDF_15861_anc2,EEACBDF,2013.592
EEACBDF_15861_anc1,EEACBDF,2013.592
EEACBDF_15726,EEACBDF,2013.4768
EEACBDF_16865,EEACBDF,2013.9184
EEACBDF_18968_anc1,EEACBDF,2014.1488
EEACBDF_16939_anc2,EEACBDF,2013.9376
EEACBDF_16939_anc1,EEACBDF,2013.9376
EEACBDF_16450,EEACBDF,2013.8416
EEACBDF_16012_anc2,EEACBDF,2013.7072
EEACBDF_17596,EEACBDF,2014.0144
EEACBDF_17390_anc2,EEACBDF,2013.9952
EEACBDF_17390_anc1,EEACBDF,2013.9952
EEACBDF_16012_anc1,EEACBDF,2013.7072
EEACBDF_17245_anc1,EEACBDF,2013.976
EEACBDF_15748,EEACBDF,2013.496
EEACBDF_15510,EEACBDF,2013.3232
EEACBDF_17363,EEACBDF,2013.9952
EEACBDF_15611,EEACBDF,2013.3808
EEACBDF_15462,EEACBDF,2013.304
EEACBDF_16155,EEACBDF,2013.7648
EEACBDF_28126_anc1,EEACBDF,2014.5712
EEACBDF_16291,EEACBDF,2013.8032
EEACBDF_16091,EEACBDF,2013.7456
EEACBDF_17912,EEACBDF,2014.0528
EEACBDF_18012,EEACBDF,2014.072
EEACBDF_17217,EEACBDF,2013.976
EEACBDF_16822,EEACBDF,2013.9184
EEACBDF_31784,EEACBDF,2014.9936
EEACBDF_18553,EEACBDF,2014.1104
EEACBDF_18156_anc1,EEACBDF,2014.072
EEACBDF_16362,EEACBDF,2013.8224
EEACBDF_16283,EEACBDF,2013.8032
EEACBDF_15946,EEACBDF,2013.6688
EEACBDF_17517,EEACBDF,2014.0144
EEACBDF_21700_anc2,EEACBDF,2014.3024
EEACBDF_21700_anc1,EEACBDF,2014.3024
EEACBDF_16750,EEACBDF,2013.8992
EEACBDF_16435,EEACBDF,2013.8416
EEACBDF_15924_anc3,EEACBDF,2013.6496
EEACBDF_15924_anc2,EEACBDF,2013.6496
EEACBDF_15924_anc1,EEACBDF,2013.6496
EEACBDF_17338,EEACBDF,2013.9952
EEACBDF_17702,EEACBDF,2014.0336
EEACBDF_16722_anc2,EEACBDF,2013.8992
EEACBDF_16722_anc1,EEACBDF,2013.8992
EEACBDF_15792,EEACBDF,2013.5344
EEACBDF_15175,EEACBDF,2013.208
BECDEAB_8881,BECDEAB,2011.9792
BECDEAB_8598,BECDEAB,2011.7872
BECDEAB_13603_anc1,BECDEAB,2012.9776
BECDEAB_9786,BECDEAB,2012.4592
BECDEAB_14597,BECDEAB,2013.0928
BECDEAB_9500,BECDEAB,2012.3824
BECDEAB_10224,BECDEAB,2012.5552
BECDEAB_9041,BECDEAB,2012.0944
BECDEAB_9270,BECDEAB,2012.2672
BECDEAB_9162,BECDEAB,2012.1904
BECDEAB_11252,BECDEAB,2012.7088
BECDEAB_9409,BECDEAB,2012.344
BECDEAB_9902,BECDEAB,2012.4976
BECDEAB_9512,BECDEAB,2012.3824
BECDEAB_10000,BECDEAB,2012.5168
BECDEAB_9468_anc1,BECDEAB,2012.3632
BECDEAB_9360_anc2,BECDEAB,2012.3056
BECDEAB_9360_anc1,BECDEAB,2012.3056
BECDEAB_9232_anc2,BECDEAB,2012.248
BECDEAB_9232_anc1,BECDEAB,2012.248
BECDEAB_9042,BECDEAB,2012.0944
BECDEAB_8735_anc2,BECDEAB,2011.864
BECDEAB_8735_anc1,BECDEAB,2011.864
BECDEAB_8599,BECDEAB,2011.7872
BECDEAB_8279,BECDEAB,2011.672
ADCEFFB_ROOT_anc11,ADCEFFB,NaN
ADCEFFB_817_anc1,ADCEFFB,2011.0192
ADCEFFB_ROOT_anc10,ADCEFFB,NaN
ADCEFFB_ROOT_anc9,ADCEFFB,NaN
ADCEFFB_ROOT_anc8,ADCEFFB,NaN
ADCEFFB_ROOT_anc7,ADCEFFB,NaN
ADCEFFB_ROOT_anc6,ADCEFFB,NaN
ADCEFFB_ROOT_anc5,ADCEFFB,NaN
ADCEFFB_ROOT_anc4,ADCEFFB,NaN
ADCEFFB_ROOT_anc3,ADCEFFB,NaN
